2026-07-24 15:27:18,642 | INFO | fibonacci-api | GET /metrics status=307 duration=0.26ms
2026-07-24 15:27:18,645 | INFO | fibonacci-api | GET /metrics/ status=200 duration=1.06ms
2026-07-24 15:27:33,638 | INFO | fibonacci-api | GET /metrics status=307 duration=0.42ms
2026-07-24 15:27:33,643 | INFO | fibonacci-api | GET /metrics/ status=200 duration=1.77ms
2026-07-24 15:28:14,418 | INFO | fibonacci-api | Received Fibonacci request for n=5
2026-07-24 15:28:14,419 | INFO | fibonacci-api | Calculated Fibonacci(5) = 5
2026-07-24 15:28:14,421 | INFO | fibonacci-api | GET /fibonacci status=200 duration=4.62ms
2026-07-24 15:28:20,126 | INFO | fibonacci-api | GET /metrics status=307 duration=0.48ms
2026-07-24 15:28:20,140 | INFO | fibonacci-api | GET /metrics/ status=200 duration=11.31ms
2026-07-24 15:28:21,299 | INFO | fibonacci-api | Received Fibonacci request for n=10
2026-07-24 15:28:21,300 | INFO | fibonacci-api | Calculated Fibonacci(10) = 55
2026-07-24 15:28:21,302 | INFO | fibonacci-api | GET /fibonacci status=200 duration=4.52ms
2026-07-24 15:28:26,238 | INFO | fibonacci-api | Received Fibonacci request for n=15
2026-07-24 15:28:26,239 | INFO | fibonacci-api | Calculated Fibonacci(15) = 610
2026-07-24 15:28:26,241 | INFO | fibonacci-api | GET /fibonacci status=200 duration=3.91ms
2026-07-24 15:28:30,707 | INFO | fibonacci-api | Received Fibonacci request for n=20
2026-07-24 15:28:30,708 | INFO | fibonacci-api | Calculated Fibonacci(20) = 6765
2026-07-24 15:28:30,709 | INFO | fibonacci-api | GET /fibonacci status=200 duration=2.51ms
2026-07-24 15:28:35,126 | INFO | fibonacci-api | GET /metrics status=307 duration=0.29ms
2026-07-24 15:28:35,129 | INFO | fibonacci-api | GET /metrics/ status=200 duration=1.32ms
2026-07-24 15:28:35,674 | INFO | fibonacci-api | Received Fibonacci request for n=25
2026-07-24 15:28:35,674 | INFO | fibonacci-api | Calculated Fibonacci(25) = 75025
2026-07-24 15:28:35,675 | INFO | fibonacci-api | GET /fibonacci status=200 duration=5.35ms
2026-07-24 15:28:41,131 | INFO | fibonacci-api | Received Fibonacci request for n=30
2026-07-24 15:28:41,134 | INFO | fibonacci-api | Calculated Fibonacci(30) = 832040
2026-07-24 15:28:41,137 | INFO | fibonacci-api | GET /fibonacci status=200 duration=6.90ms
2026-07-24 15:28:49,333 | INFO | fibonacci-api | GET /metrics status=307 duration=0.32ms
2026-07-24 15:28:49,348 | INFO | fibonacci-api | GET /metrics/ status=200 duration=1.52ms
2026-07-24 15:28:50,128 | INFO | fibonacci-api | GET /metrics status=307 duration=0.34ms
2026-07-24 15:28:50,132 | INFO | fibonacci-api | GET /metrics/ status=200 duration=1.45ms
2026-07-24 15:29:05,123 | INFO | fibonacci-api | GET /metrics status=307 duration=0.19ms
2026-07-24 15:29:05,126 | INFO | fibonacci-api | GET /metrics/ status=200 duration=1.19ms
